ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
595,fm-06,Radio International,Radio International S.r.l.,Via Botta  PIOVE DI SACCO (PD),12.026420656543378,45.297404893152645,2.5,Al Suolo,30,
596,fm-07,Radio Ricerca Realt�,Radio Ricerca Realt�,Reschigliano  CAMPODARSEGO (PD),11.927810092457694,45.47995302474188,13,Altro,16.5,
598,FM-09,Impianto Protezione Civile Veggiano,Comune di Veggiano,Via Roma  41/B  VEGGIANO (PD),11.712484735200889,45.4487376763247,20.7,Su edificio,15,
599,FM-VE-01,BluRadioVeneto,Blu Radio Veneto S.r.l.,San Marco 320/A  VENEZIA (VE),12.339827971095861,45.43514235990377,.6,Campanile,75,
602,FM-VE-03a,RDS,Radio Dimensione Suono Spa,Castello 1923  VENEZIA (VE),12.355198057629188,45.43409725911991,1.2,Su edificio,40,
606,FM-VE-07,Radio Maril�,Archimedia S.r.l.,Corso Palladio  42 - Marghera  VENEZIA (VE),12.226632568439781,45.48257023695521,1.64,Su edificio,49,
607,FM-VE-08,BluRadioVeneto,Blu Radio Veneto S.r.l.,Piazza Vescovado  1 - Caorle  CAORLE (VE),12.890489243138806,45.60060810121823,0,Su edificio,10,
609,FM-VE-10,Radio International,Radio International S.r.l.,via Roma c/o Duomo - Cavarzere  CAVARZERE (VE),12.085156197784357,45.13769043128136,2.6,Su edificio,66,
613,FM-VE-13,Radio Birikina,Radio Birikina S.r.l.,Piazza Matteotti  9  JESOLO (VE),12.639670878486106,45.538865604286215,2,Su edificio,40,
614,FM-VE-14,Radio Dimensione Suono Network,Radio Dimensione Suono Spa,ca' Gamba  50 c/o Bar Pizzeria Pierre  JESOLO (VE),12.660568324426801,45.52732318227743,20,Su edificio,10,
615,FM-VE-15,Radio City FM,Radio City S.r.l.,via Ca' Gamba  50 c/o Bar Pizzeria Pierre  JESOLO (VE),12.660568324426801,45.52732318227743,20,Su edificio,10,
617,FM-VE-17,Radio Sorriso,RADIO SORRISO S.r.l.,via S.Marco  12 - Mira Porte  MIRA (VE),12.141085467997351,45.44034609730223,0,Su edificio,25,
620,FM-VE-19a,Radio S. Dona,RTL 102.5 Hit Radio S.r.l.,Via Tarvisio (presso nuovo campo da rugby)  SAN DONA' DI PIAVE (VE),12.54640005485573,45.63978299378798,3,Altro,35,
652,FM-VE-50,Radio TV B.C.S.,Radio TV BCS Snc,via Padova  18 - Sottomarina  CHIOGGIA (VE),12.291847407973705,45.21139864046943,3,Su edificio,41,
656,FM-VE-56,Radio Company,C-SPHERA S.r.l.,via Buonarroti  15 c/o Acqualandia  JESOLO (VE),12.604121414138,45.495140292432005,1,Al Suolo,30,
658,L118S001,VR QUADRANTE EUROPA,RFI (RETE FERROVIA ITALIANA),V.le Della Stazione. Foglio 257 Particella 79  VERONA (VR),10.931303714300077,45.428479131633026,76.6,Al Suolo,25.15,
659,L340S034,PERI,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  DOLCE' (VR),10.90166965968447,45.661206323994435,125,Altro,25.15,
660,L340S035,PC DOLCE' (gall. Ceraino Nord),RFI (RETE FERROVIA ITALIANA),lungo linea  DOLCE' (VR),10.84544208527519,45.586484250459364,116,Altro,25.15,
661,L340S036,DOMEGLIARA,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  SANT'AMBROGIO DI VALPOLICELLA (VR),10.821481434235272,45.5238341093818,118.2,Altro,25.15,
662,L340S037,PESCANTINA,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  PESCANTINA (VR),10.879999612296496,45.496475980652654,106.1,Altro,25.15,
